term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Person,person,unit,high,Predominantly appears exclusively in unit columns.,30,3960,0,0,30,29,0,1,29,0,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Percentage change m/m-12 (NSA),percentage change m/m-12 (nsa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,30,435,0,0,30,30,0,0,30,0,0,0,True,False,cell,Unit of measure
Thousand persons,thousand persons,unit,high,Predominantly appears exclusively in unit columns.,28,3443,0,0,28,28,0,1,27,0,0,1,False,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Per hundred thousand inhabitants,per hundred thousand inhabitants,unit,high,Predominantly appears exclusively in unit columns.,26,3594,0,0,26,26,0,1,25,0,0,1,False,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
"Index, 2021=100 (SCA)","index, 2021=100 (sca)",unit,high,Matches a unit pattern and appears exclusively in unit columns.,24,1011,0,0,24,24,0,0,24,0,0,0,True,False,cell,Unit of measure
Growth rate on previous period (t/t-1),growth rate on previous period (t/t-1),unit,high,Predominantly appears exclusively in unit columns.,24,852,0,0,24,24,0,0,24,0,0,0,False,True,cell,Unit of measure
Percentage of individuals,percentage of individuals,unit,high,Matches a unit pattern and appears exclusively in unit columns.,22,2489,0,0,22,22,0,1,21,0,0,1,True,True,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Percentage change m/m-1,percentage change m/m-1,unit,high,Matches a unit pattern and appears exclusively in unit columns.,22,915,0,0,22,22,0,0,22,0,0,0,True,False,cell,Unit of measure
Percentage change m/m-12,percentage change m/m-12,unit,high,Matches a unit pattern and appears exclusively in unit columns.,22,915,0,0,22,22,0,0,22,0,0,0,True,False,cell,Unit of measure
Percentage change m/m-1 (SCA),percentage change m/m-1 (sca),unit,high,Matches a unit pattern and appears exclusively in unit columns.,22,794,0,0,22,22,0,0,22,0,0,0,True,False,cell,Unit of measure
Million tonne-kilometre (TKM),million tonne-kilometre (tkm),unit,high,Matches a unit pattern and appears exclusively in unit columns.,21,1167,0,0,21,20,0,1,20,0,1,0,True,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Percentage change m/m-12 (CA),percentage change m/m-12 (ca),unit,high,Matches a unit pattern and appears exclusively in unit columns.,21,776,0,0,21,21,0,0,21,0,0,0,True,False,cell,Unit of measure
Percentage of total population,percentage of total population,unit,high,Matches a unit pattern and appears exclusively in unit columns.,20,2349,0,0,20,19,0,1,19,0,1,0,True,True,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Million euro (SCA),million euro (sca),unit,high,Matches a unit pattern and appears exclusively in unit columns.,20,710,0,0,20,20,0,0,20,0,0,0,True,False,cell,Unit of measure
Kilometre,kilometre,unit,high,Matches a unit pattern and appears exclusively in unit columns.,19,1323,0,0,19,18,0,1,18,0,1,0,True,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Percentage of total,percentage of total,unit,high,Matches a unit pattern and appears exclusively in unit columns.,19,945,0,0,19,19,0,1,18,0,0,1,True,True,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Year,year,unit,high,Predominantly appears exclusively in unit columns.,18,3297,0,0,18,18,0,1,17,0,0,1,False,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Hour,hour,unit,high,Predominantly appears exclusively in unit columns.,17,5138,0,0,17,17,0,0,17,0,0,0,False,False,cell,Unit of measure
National currency,national currency,unit,high,Matches a unit pattern and appears exclusively in unit columns.,17,2523,0,0,17,17,0,1,16,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Currency|Geopolitical entity (reporting)|Unit of measure
Percentage change q/q-4 (NSA),percentage change q/q-4 (nsa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,17,678,0,0,17,17,0,0,17,0,0,0,True,False,cell,Unit of measure
Percentage change q/q-1 (SCA),percentage change q/q-1 (sca),unit,high,Matches a unit pattern and appears exclusively in unit columns.,17,629,0,0,17,17,0,0,17,0,0,0,True,False,cell,Unit of measure
Percentage change q/q-4 (SCA),percentage change q/q-4 (sca),unit,high,Matches a unit pattern and appears exclusively in unit columns.,16,594,0,0,16,16,0,0,16,0,0,0,True,False,cell,Unit of measure
Index,index,unit,high,Predominantly appears exclusively in unit columns.,15,1350,0,0,15,15,0,0,15,0,0,0,False,False,cell,Unit of measure
Percentage change m/m-1 (NSA),percentage change m/m-1 (nsa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,15,389,0,0,15,15,0,0,15,0,0,0,True,False,cell,Unit of measure
Trade value in million euro (SA),trade value in million euro (sa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,15,30,0,0,15,15,0,0,15,0,0,0,True,False,cell,Unit of measure
Percentage change m/m-1 (SA),percentage change m/m-1 (sa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,14,28,0,0,14,14,0,0,14,0,0,0,True,False,cell,Unit of measure
Percentage of population in the labour force,percentage of population in the labour force,unit,high,Matches a unit pattern and appears exclusively in unit columns.,13,1084,0,0,13,13,0,0,13,0,0,0,True,True,cell,Unit of measure
Million euro (NSA),million euro (nsa),unit,high,Matches a unit pattern and appears exclusively in unit columns.,13,513,0,0,13,13,0,0,13,0,0,0,True,False,cell,Unit of measure
Square kilometre,square kilometre,unit,high,Matches a unit pattern and appears exclusively in unit columns.,13,444,0,0,13,13,0,1,12,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
"Index, 2021=100 (NSA)","index, 2021=100 (nsa)",unit,high,Matches a unit pattern and appears exclusively in unit columns.,13,385,0,0,13,13,0,0,13,0,0,0,True,False,cell,Unit of measure
